Biological Process	Number of genes
regulatory T cell differentiation	2
fatty-acyl-CoA biosynthetic process	2
glial cell activation	2
cellular response to interleukin-4	2
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	2
positive regulation of T cell mediated immunity	2
MyD88-independent toll-like receptor signaling pathway	2
GPI anchor biosynthetic process	2
positive regulation of muscle cell apoptotic process	2
response to isoquinoline alkaloid	2
intracellular lipid transport	2
positive regulation of interleukin-12 production	2
myeloid cell apoptotic process	2
positive regulation of multicellular organism growth	2
response to morphine	2
skeletal muscle tissue regeneration	2
respiratory burst	2
cardiac epithelial to mesenchymal transition	2
cell-cell signaling involved in cardiac conduction	2
positive regulation of epithelial cell apoptotic process	2
response to oxygen radical	2
negative regulation of production of molecular mediator of immune response	2
7-methylguanosine mRNA capping	2
glutamate metabolic process	2
protein palmitoylation	2
monocyte differentiation	2
interleukin-4 production	2
negative regulation of fibroblast proliferation	2
regulation of renal system process	2
regulation of cardiac muscle cell action potential	2
regulation of long-term synaptic potentiation	2
mononuclear cell differentiation	2
GPI anchor metabolic process	2
protein targeting to vacuole	2
salivary gland morphogenesis	2
long-term memory	2
7-methylguanosine RNA capping	2
regulation of lamellipodium assembly	2
chromosome condensation	2
sleep	2
RNA capping	2
vascular endothelial growth factor signaling pathway	2
keratan sulfate metabolic process	2
regulation of sensory perception of pain	2
regulation of sensory perception	2
response to interleukin-4	2
interleukin-6 secretion	2
regulation of calcium ion import	2
regulation of cytokine production involved in inflammatory response	2
regulation of protein localization to cell surface	2
behavioral fear response	2
behavioral defense response	2
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	2
regulation of myelination	2
positive regulation of interleukin-1 beta production	2
cellular response to estradiol stimulus	2
extracellular matrix assembly	2
negative regulation of organelle assembly	2
negative regulation of blood circulation	2
MyD88-dependent toll-like receptor signaling pathway	2
response to ischemia	2
transcription initiation from RNA polymerase I promoter	2
prostanoid metabolic process	2
prostaglandin metabolic process	2
porphyrin-containing compound metabolic process	2
hyaluronan metabolic process	2
response to vitamin D	2
transferrin transport	2
negative regulation of toll-like receptor signaling pathway	2
negative regulation of potassium ion transport	2
positive regulation of epidermis development	2
positive regulation of cyclin-dependent protein serine/threonine kinase activity	2
negative chemotaxis	2
head morphogenesis	2
necroptotic process	2
regulation of neuron migration	2
cytokine production involved in inflammatory response	2
peptide hormone processing	2
cerebellum morphogenesis	2
hindlimb morphogenesis	2
type 2 immune response	2
regulation of natural killer cell mediated cytotoxicity	2
pteridine-containing compound metabolic process	2
fear response	2
positive regulation of blood pressure	2
phospholipid dephosphorylation	2
negative regulation of striated muscle cell differentiation	2
regulation of dendritic spine morphogenesis	2
nucleotide-binding oligomerization domain containing signaling pathway	2
regulation of autophagosome assembly	2
regulation of receptor internalization	2
negative regulation of adaptive immune response	2
cellular zinc ion homeostasis	2
salivary gland development	2
response to amine	2
Rac protein signal transduction	2
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	2
regulation of defense response to virus by host	2
regulation of interleukin-1 beta secretion	2
tricarboxylic acid metabolic process	2
regulation of protein deacetylation	2
regulation of DNA-templated transcription, initiation	2
protein peptidyl-prolyl isomerization	2
negative regulation of DNA replication	2
ferric iron transport	2
macrophage differentiation	2
G2 DNA damage checkpoint	2
secretion by tissue	2
regulation of collagen biosynthetic process	2
T-helper 1 type immune response	2
cellular component maintenance	2
positive regulation of axon extension	2
trivalent inorganic cation transport	2
clathrin-dependent endocytosis	2
regulation of natural killer cell mediated immunity	2
microtubule depolymerization	2
serine family amino acid metabolic process	2
oligosaccharide biosynthetic process	2
peptidyl-lysine trimethylation	2
cortical actin cytoskeleton organization	2
fatty-acyl-CoA metabolic process	2
intraciliary transport involved in cilium assembly	2
response to copper ion	2
regulation of protein export from nucleus	2
zinc ion homeostasis	2
histone H3-K9 modification	2
regulation of cardiac muscle cell contraction	2
nucleobase metabolic process	2
response to pH	2
negative regulation of protein processing	2
keratinocyte proliferation	2
regulation of vacuole organization	2
regulation of smooth muscle cell differentiation	2
programmed necrotic cell death	2
negative regulation of protein maturation	2
positive regulation of response to biotic stimulus	2
membrane protein ectodomain proteolysis	2
glutamate secretion	2
cerebral cortex cell migration	2
icosanoid secretion	2
regulation of protein oligomerization	2
positive regulation of potassium ion transport	2
positive regulation of nitric oxide biosynthetic process	2
regulation of cholesterol biosynthetic process	2
regulation of filopodium assembly	2
negative regulation of cell migration involved in sprouting angiogenesis	2
positive regulation of anion transport	2
positive regulation of nitric oxide metabolic process	2
inflammatory response to antigenic stimulus	2
base-excision repair	2
regulation of collagen metabolic process	2
ovulation cycle process	2
positive regulation of interleukin-1 production	2
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	2
positive regulation of glucose import	2
detection of mechanical stimulus	2
regulation of meiotic cell cycle	2
selective autophagy	2
establishment of protein localization to plasma membrane	2
positive regulation of NIK/NF-kappaB signaling	2
negative regulation of response to endoplasmic reticulum stress	2
regulation of cardiac muscle cell differentiation	2
regulation of interleukin-10 production	2
negative regulation of blood pressure	2
circadian behavior	2
regulation of interleukin-1 secretion	2
regulation of alternative mRNA splicing, via spliceosome	2
rhythmic behavior	2
axon regeneration	2
epithelial cell differentiation involved in kidney development	2
multi-organism cellular process	2
negative regulation of innate immune response	2
icosanoid transport	2
fatty acid derivative transport	2
regulation of actin filament-based movement	2
regulation of CD4-positive, alpha-beta T cell activation	2
protein import into nucleus, translocation	2
positive regulation of cytokine-mediated signaling pathway	2
negative regulation of TOR signaling	2
interleukin-10 production	2
genitalia development	2
mammary gland morphogenesis	2
regulation of lamellipodium organization	2
blood vessel endothelial cell proliferation involved in sprouting angiogenesis	2
collagen biosynthetic process	2
coronary vasculature development	2
positive regulation of glucose transmembrane transport	2
positive regulation of DNA repair	2
positive regulation of receptor-mediated endocytosis	2
positive regulation of stress fiber assembly	2
T cell apoptotic process	2
positive regulation of regulated secretory pathway	2
negative regulation of endocytosis	2
negative regulation of leukocyte apoptotic process	2
Golgi to plasma membrane transport	2
regulation of cardiac muscle cell apoptotic process	2
regulation of interleukin-2 production	2
intraciliary transport	2
receptor clustering	2
positive regulation of alpha-beta T cell activation	2
positive regulation of response to cytokine stimulus	2
positive regulation of extrinsic apoptotic signaling pathway	2
